Occupancy Name,Address,NFF GPM,Flow Available,OVAP Score
Carriage Hills Apartments,3400 N Knoxville AVE,1708,Insufficient,33.33
,Building #F,,,
,"Peoria, IL 61603",,,
Casey's General Store,7815 N State Route 91,2121,Sufficient,38.5
,"Peoria, IL 61615",,,
Castle's Patio INN,802 W Loucks AVE,569,Sufficient,31.66
,"Peoria, IL 61604",,,
Catherine's,1405 W Glen AVE,0,Insufficient,0
,"Peoria, IL 61614",,,
Catholic Charities,1825 NE Adams ST,509,Sufficient,27.62
,"Peoria, IL 61603",,,
Catholic Diocese,600 NE Monroe ST,476,Sufficient,26
,"Peoria, IL 61603",,,
Cefcu,200 N Mac Arthur HWY,523,Sufficient,31.9
,"Peoria, IL 61605",,,
Central Fire House,505 NE Monroe ST,1138,Sufficient,25.67
,"Peoria, IL 61603",,,
Central Fixture,215 W McClure,1047,Sufficient,30.8
,"Peoria, IL 61603",,,
Central Illinois Bank,4125 N Sheridan RD,543,Sufficient,24.57
,#2,,,
,"Peoria, IL 61614",,,
Central Illinois Center for the Blind and Visually Impaired,2905 W Garden ST,433,Sufficient,27.13
,"Peoria, IL 61605",,,
Central Illinois Family Eye Care,4203 N Sheridan RD,480,Sufficient,29.21
,#A1-4,,,
,"Peoria, IL 61614",,,
Central Illinois Granite,6523 N Galena RD,1082,Sufficient,33.07
,"Peoria, IL 61614",,,
CENTRAL POOL SUPPLY,1519 W Pioneer PKY,1080,Insufficient,36.67
,"Peoria, IL 61615",,,
Champs Sports,2200 W War Memorial DR,512,Sufficient,30.56
,#CU10,,,
,"Peoria, IL 61613",,,
CHAPIN DAVIS INVESTMENTS,8512 N Knoxville AVE,0,Insufficient,0
,"Peoria, IL 61615",,,
Charles Schwab,7702 N Grand Prairie DR,456,Insufficient,27.38
,#A,,,
,"Peoria, IL 61615",,,
Charlie's Place,123654 SW Jefferson AVE,2846,Insufficient,34.96
,"Peoria, IL 61605",,,
Charlie's Place,123455 SW Adams ST,3622,Insufficient,36.06
,"Peoria, IL 61605",,,
Charlie's Place,12659 NE Adams ST,4050,Insufficient,36.06
,Building #69,,,
,"Peoria, IL 61603",,,
Charlie's Place,5432 NE Adams ST,764,Sufficient,32.76
,Building #123,,,
,"Peoria, IL 61603",,,
Charlotte Russe,2200 W War Memorial DR,546,Sufficient,30.31
,#FL15a,,,
,"Peoria, IL 61613",,,
CHARMAINES PET SPA,5901 N Prospect RD,0,Insufficient,0
,#1,,,
,"Peoria, IL 61614",,,
Charter Oak Primary School,5221 W Timberedge DR,2645,Insufficient,31.53
,"Peoria, IL 61615",,,
Chase Bank Building,411 Hamilton BLVD,11652,Insufficient,36.67
,"Peoria, IL 61602",,,
Check `n Go,9031 N Allen RD,493,Sufficient,31.29
,"Peoria, IL 61615",,,
Chef Moussa,201 E Lake AVE,569,Sufficient,36.18
,"Peoria, IL 61614",,,
Chi Omega,801 N Tobias LN,1157,Insufficient,20.33
,"Peoria, IL 61606",,,
Chick-Fil-A,4518 N Sterling AVE,916,Sufficient,27.01
,"Peoria, IL 61604",,,
Child Evangelism Fellowship,708 E Archer AVE,1909,Insufficient,35.81
,"Peoria, IL 61603",,,
Childers Eatery,5805 N Humboldt AVE,799,Sufficient,29.7
,#5,,,
,"Peoria, IL 61614",,,
Chili's Grill & Bar,4825 N University ST,1028,Sufficient,30.8
,"Peoria, IL 61614",,,
Chipotle Mexican Grill,4512 N Sterling AVE,1364,Sufficient,27.5
,"Peoria, IL 61604",,,
Christ Lutheran School,1311 S Faraday AVE,4999,Insufficient,33
,"Peoria, IL 61605",,,
Christpher & Banks,2200 W War Memorial DR,468,Sufficient,30.56
,#CU09,,,
,"Peoria, IL 61613",,,
Chuck's Towing,2501 SW Washington ST,2105,Insufficient,29.82
,"Peoria, IL 61605",,,
Circle K #123,2427 W Northland AVE,1775,Sufficient,39.6
,"Peoria, IL 61615",,,
Circle K #136,7815 N University ST,1420,Sufficient,39.6
,"Peoria, IL 61614",,,
Circle K 1427,1514 W Hickory Grove RD,3674,Insufficient,45.1
,"Peoria, IL 61615",,,
City Fashion,200 N Mac Arthur HWY,906,Sufficient,33.98
,"Peoria, IL 61605",,,
City Heat,2248 W Glen AVE,935,Sufficient,38.26
,"Peoria, IL 61614",,,
Cityscape Apartments,601 W Remeo B Garrett,1046,Sufficient,26.4
,"Peoria, IL 61605",,,
CJ Signs,4024 SW Adams ST,756,Sufficient,24.32
,"Peoria, IL 61605",,,
CJ's Hair Studio,401 SW Water ST,142,Sufficient,30.56
,#108B,,,
,"Peoria, IL 61602",,,
Claires,2200 W War Memorial DR,292,Sufficient,29.46
,#B103,,,
,"Peoria, IL 61613",,,
Club Envy,1412 SW Jefferson,821,Sufficient,28.6
,"Peoria, IL 61605",,,
Cody's Castle,1100 Greenlawn AVE,720,Sufficient,33
,"Peoria, IL 61605",,,
Cohen Development Co.,406 SW Washington ST,1690,Sufficient,26.89
,"Peoria, IL 61605",,,
Coles Corner Tap,1227 NE Adams ST,1046,Sufficient,32.63
,"Peoria, IL 61603",,,
Comfort Suites,1812 W War Memorial DR,5533,Insufficient,34.96
,"Peoria, IL 61614",,,
COMMERCE BANK,8615 N Knoxville AVE,242,Insufficient,26.4
,"Peoria, IL 61615",,,
Commerce Bank Building,416 Main ST,3159,Insufficient,57.4
,"Peoria, IL 61602",,,
Common Place,514 S Shelly,2053,Sufficient,33.37
,"Peoria, IL 61605",,,
Computer Medics,7209 N Allen RD,684,Sufficient,34.95
,"Peoria, IL 61615",,,
Concordia Lutheran School,2000 W Glen AVE,1238,Sufficient,28.6
,"Peoria, IL 61614",,,
Connect Hearing,2524 W Farrelly AVE,569,Sufficient,36.18
,#F,,,
,"Peoria, IL 61615",,,
Connected,3218 N Dries LN,955,Insufficient,0
,"Peoria, IL 61604",,,
Conoco,3203 SW Adams ST,476,Sufficient,36.06
,"Peoria, IL 61605",,,
Contemporary Arts Center,305 SW Water ST,1080,Sufficient,34.22
,"Peoria, IL 61603",,,
Core Life Eatery,5040 N Big Hollow RD,1266,Sufficient,39.36
,"Peoria, IL 61615",,,
Cottage Care Housekeeping,1217 W Glen AVE,0,Insufficient,0
,"Peoria, IL 61614",,,
Country Financial Insurance,5005 W American Prairie DR,153,Insufficient,0
,"Peoria, IL 61615",,,
Country Inn & Suites,5309 W Landens WAY,2828,Sufficient,30
,"Peoria, IL 61615",,,
Courtyard by Marriott,533 Main ST,6971,Insufficient,46.8
,"Peoria, IL 61602",,,
Courtyard Marriott,1928 W War Memorial DR,2967,Insufficient,36.06
,"Peoria, IL 61614",,,
Cracked Pepper,1108 W Glen,1115,Sufficient,23.71
,"Peoria, IL 61614",,,
Cracked Pepper,3404 NE adams ST,974,Sufficient,35.81
,"peoria, IL 61603",,,
Cracked Pepper Kitchen,3404 NE Adams ST,260,Sufficient,27.13
,"Peoria, IL 61603",,,
Crane & Equipment Corp,512 W John GwynnJr AVE,296,Sufficient,23.96
,"Peoria, IL 61605",,,
Crazy 8,2200 W War Memorial DR,355,Sufficient,30.31
,#FL20A,,,
,"Peoria, IL 61613",,,
